Reading,Load [N],Travel [mm],Time
431,-0.2,-20.34,18.74
432,-0.2,-20.34,18.76
433,-0.2,-20.42,18.801
434,-0.2,-20.44,18.82
435,-0.2,-20.48,18.866
436,-0.2,-20.48,18.88
437,-0.2,-20.56,18.941
438,-0.2,-20.58,18.96
439,-0.2,-20.64,19.006
440,-0.2,-20.66,19.021
441,-0.2,-20.72,19.068
442,-0.2,-20.74,19.082
443,-0.2,-20.8,19.14
444,-0.2,-20.82,19.16
445,-0.2,-20.86,19.205
446,-0.2,-20.9,19.22
447,-0.2,-20.94,19.269
448,-0.2,-20.98,19.282
449,-0.2,-21.02,19.341
450,-0.2,-21.04,19.36
451,-0.2,-21.2,19.465
452,-0.2,-21.2,19.482
453,-0.2,-21.3,19.567
454,-0.2,-21.32,19.584
455,-0.2,-21.42,19.68
456,-0.2,-21.46,19.7
457,-0.2,-21.56,19.784
458,-0.2,-21.58,19.801
459,-0.2,-21.66,19.88
460,-0.2,-21.68,19.9
461,-0.2,-21.8,20.001
462,-0.2,-21.84,20.02
463,-0.2,-21.94,20.103
464,-0.2,-21.94,20.12
465,-0.2,-22.04,20.2
466,-0.2,-22.06,20.22
467,-0.1,-22.14,20.301
468,-0.2,-22.18,20.32
469,-0.1,-22.32,20.44
470,-0.1,-22.32,20.46
471,-0.1,-22.42,20.54
472,-0.1,-22.44,20.56
473,-0.1,-22.54,20.641
474,-0.1,-22.58,20.66
475,-0.1,-22.64,20.72
476,-0.1,-22.68,20.74
477,-0.1,-22.74,20.804
478,-0.1,-22.74,20.82
479,-0.1,-22.82,20.868
480,-0.1,-22.82,20.884
481,-0.1,-22.9,20.94
482,-0.1,-22.92,20.96
483,-0.1,-22.98,21.007
484,-0.1,-23,21.024
485,-0.1,-23.06,21.081
486,-0.1,-23.08,21.1
487,-0.1,-23.2,21.206
488,-0.1,-23.24,21.222
489,-0.1,-23.34,21.32
490,-0.1,-23.36,21.34
491,-0.1,-23.48,21.44
492,-0.1,-23.48,21.46
493,-0.1,-23.62,21.548
494,-0.1,-23.64,21.565
495,-0.1,-23.74,21.663
496,-0.1,-23.76,21.68
497,-0.1,-23.86,21.78
498,-0.1,-23.92,21.801
499,-0.1,-24.02,21.882
500,-0.1,-24.02,21.9
501,-0.1,-24.14,22
502,-0.1,-24.18,22.02
503,-0.1,-24.28,22.12
504,-0.1,-24.3,22.14
505,-0.1,-24.4,22.23
506,0,-24.42,22.246
507,-0.1,-24.52,22.341
508,-0.1,-24.56,22.36
509,-0.1,-24.66,22.441
