Reading,Load [N],Travel [mm],Time
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,0.2,-35.94,84.741
1700,0.2,-35.94,84.764
1701,0.2,-35.94,84.94
1702,0.2,-35.94,84.963
1703,0.2,-35.94,85.083
1704,0.2,-35.94,85.106
1705,0.2,-35.94,85.261
1706,0.2,-35.94,85.284
1707,0.2,-35.94,85.462
1708,0.2,-35.94,85.486
1709,0.2,-35.94,85.62
1710,0.2,-35.94,85.646
1711,0.2,-35.94,85.82
1712,0.2,-35.94,85.844
1713,0.2,-35.94,85.981
1714,0.2,-35.94,86.006
1715,0.2,-35.94,86.14
1716,0.2,-35.94,86.166
1717,0.2,-35.94,86.309
1718,0.2,-35.94,86.341
1719,0.2,-35.94,86.489
1720,0.2,-35.94,86.52
1721,0.2,-35.94,86.66
1722,0.2,-35.94,86.686
1723,0.2,-35.94,86.84
1724,0.2,-35.94,86.866
1725,0.2,-35.94,87.029
1726,0.2,-35.94,87.061
1727,0.2,-35.94,87.2
1728,0.2,-35.94,87.227
1729,0.2,-35.94,87.38
1730,0.2,-35.94,87.404
1731,0.2,-35.94,87.528
1732,0.2,-35.94,87.56
1733,0.2,-35.94,87.703
1734,0.2,-35.94,87.727
1735,0.2,-35.94,87.861
1736,0.2,-35.94,87.889
1737,0.2,-35.94,87.943
1738,0.2,-35.94,87.96
1739,0.2,-35.94,88.021
1740,0.2,-35.94,88.04
