Reading,Load [N],Travel [mm],Time
501,0,-19.86,18.379
502,0.1,-19.92,18.444
503,0,-19.96,18.459
504,0,-20.04,18.528
505,0,-20.06,18.543
506,0,-20.14,18.619
507,0,-20.16,18.639
508,0,-20.26,18.704
509,0,-20.26,18.719
510,0,-20.34,18.779
511,0,-20.34,18.8
512,0,-20.42,18.86
513,0,-20.44,18.879
514,0,-20.52,18.927
515,0,-20.52,18.939
516,0,-20.58,18.999
517,0,-20.62,19.019
518,0,-20.66,19.063
519,0,-20.7,19.079
520,0,-20.74,19.125
521,0,-20.76,19.14
522,0,-20.82,19.188
523,0,-20.82,19.201
524,0,-20.9,19.259
525,0,-20.92,19.279
526,0,-20.98,19.323
527,0,-21,19.34
528,0.1,-21.04,19.385
529,0,-21.04,19.399
530,0.1,-21.12,19.446
531,0.1,-21.14,19.46
532,0.1,-21.2,19.519
533,0.1,-21.22,19.54
534,0.1,-21.28,19.585
535,0.1,-21.3,19.599
536,0.1,-21.36,19.659
537,0.1,-21.38,19.68
538,0.1,-21.42,19.725
539,0.1,-21.46,19.739
540,0.1,-21.52,19.799
541,0.1,-21.56,19.819
542,0.1,-21.6,19.865
543,0.1,-21.6,19.879
544,0.1,-21.68,19.939
545,0.1,-21.7,19.959
546,0.1,-21.76,20.003
547,0.1,-21.78,20.02
548,0.1,-21.86,20.079
549,0.1,-21.86,20.099
550,0.1,-21.94,20.147
551,0.1,-21.94,20.161
552,0.1,-22.02,20.22
553,0.1,-22.04,20.239
554,0.1,-22.12,20.299
555,0.1,-22.14,20.319
556,0.1,-22.18,20.364
557,0.1,-22.22,20.379
558,0.1,-22.26,20.426
559,0.1,-22.26,20.439
560,0.1,-22.32,20.487
561,0.1,-22.34,20.501
562,0.1,-22.42,20.56
563,0.1,-22.42,20.579
564,0.2,-22.5,20.621
565,0.2,-22.52,20.639
566,0.2,-22.58,20.699
567,0.2,-22.6,20.72
568,0.2,-22.68,20.779
569,0.2,-22.7,20.799
570,0.2,-22.8,20.899
571,0.2,-22.82,20.919
572,0.2,-22.92,20.999
573,0.2,-22.96,21.02
574,0.2,-23.08,21.119
575,0.2,-23.08,21.139
576,0.2,-23.16,21.2
577,0.2,-23.18,21.22
578,0.2,-23.26,21.279
579,0.2,-23.28,21.299
580,0.2,-23.34,21.349
581,0.2,-23.36,21.363
582,0.2,-23.4,21.419
583,0.2,-23.44,21.439
584,0.2,-23.48,21.484
585,0.2,-23.52,21.499
586,0.2,-23.56,21.549
587,0.2,-23.58,21.563
588,0.2,-23.64,21.619
589,0.2,-23.66,21.639
590,0.3,-23.82,21.759
591,0.3,-23.82,21.779
592,0.3,-23.92,21.841
593,0.3,-23.92,21.859
594,0.3,-24.02,21.939
595,0.3,-24.04,21.96
596,0.2,-24.14,22.039
597,0.2,-24.14,22.059
598,0.2,-24.24,22.139
599,0.2,-24.28,22.159
600,0.3,-24.34,22.24
601,0.3,-24.4,22.26
602,0.3,-24.48,22.34
603,0.3,-24.5,22.359
604,0.3,-24.6,22.441
605,0.3,-24.62,22.459
606,0.3,-24.7,22.519
607,0.3,-24.72,22.539
608,0.3,-24.78,22.599
609,0.3,-24.8,22.619
610,0.3,-24.96,22.748
611,0.3,-24.98,22.766
612,0.3,-25.08,22.859
613,0.3,-25.12,22.879
614,0.3,-25.22,22.947
615,0.3,-25.22,22.961
616,0.3,-25.28,23.02
617,0.3,-25.32,23.039
618,0.3,-25.38,23.119
619,0.4,-25.42,23.14
620,0.3,-25.52,23.22
621,0.3,-25.54,23.239
622,0.3,-25.64,23.319
623,0.4,-25.64,23.339
624,0.3,-25.74,23.419
625,0.4,-25.78,23.44
626,0.3,-25.84,23.521
627,0.4,-25.88,23.539
628,0.4,-26,23.625
629,0.4,-26,23.64
630,0.3,-26.1,23.719
631,0.3,-26.12,23.739
632,0.3,-26.2,23.803
633,0.3,-26.22,23.819
634,0.3,-26.28,23.883
635,0.3,-26.3,23.9
636,0.3,-26.38,23.96
637,0.3,-26.4,23.979
638,0.3,-26.48,24.044
639,0.3,-26.48,24.059
640,0.3,-26.56,24.124
641,0.4,-26.58,24.14
642,0.4,-26.66,24.203
643,0.4,-26.68,24.22
644,0.4,-26.82,24.327
645,0.4,-26.84,24.345
646,0.4,-26.96,24.461
647,0.4,-26.96,24.479
648,0.4,-27.12,24.601
649,0.4,-27.14,24.621
650,0.4,-27.24,24.703
651,0.4,-27.26,24.719
652,0.4,-27.34,24.785
653,0.4,-27.34,24.8
654,0.4,-27.42,24.867
655,0.4,-27.44,24.882
656,0.4,-27.54,24.96
657,0.4,-27.54,24.979
658,0.4,-27.66,25.045
659,0.4,-27.68,25.059
660,0.4,-27.72,25.127
661,0.4,-27.76,25.141
662,0.4,-27.82,25.207
663,0.4,-27.86,25.221
664,0.4,-27.92,25.286
665,0.4,-27.92,25.301
666,0.4,-28,25.365
667,0.4,-28.04,25.379
668,0.4,-28.1,25.447
669,0.4,-28.14,25.463
670,0.4,-28.2,25.52
671,0.4,-28.2,25.539
672,0.4,-28.28,25.588
673,0.4,-28.28,25.601
674,0.4,-28.34,25.659
675,0.4,-28.38,25.68
676,0.4,-28.44,25.739
677,0.4,-28.46,25.759
678,0.4,-28.54,25.819
679,0.4,-28.56,25.839
680,0.4,-28.7,25.943
681,0.4,-28.72,25.96
682,0.4,-28.82,26.059
683,0.4,-28.84,26.079
684,0.4,-28.94,26.165
685,0.4,-28.98,26.183
686,0.4,-29.08,26.267
687,0.4,-29.1,26.281
688,0.4,-29.14,26.339
689,0.4,-29.18,26.359
690,0.4,-29.26,26.426
691,0.4,-29.28,26.439
692,0.4,-29.32,26.499
693,0.4,-29.36,26.52
694,0.3,-29.42,26.579
695,0.3,-29.46,26.599
696,0.4,-29.5,26.647
697,0.3,-29.54,26.661
698,0.3,-29.6,26.719
699,0.3,-29.6,26.739
700,0.3,-29.68,26.789
701,0.3,-29.7,26.803
702,0.3,-29.76,26.859
703,0.3,-29.78,26.879
704,0.4,-29.84,26.926
705,0.3,-29.84,26.939
706,0.3,-29.92,27
707,0.3,-29.94,27.02
708,0.3,-30.02,27.079
709,0.3,-30.04,27.099
710,0.3,-30.08,27.147
711,0.3,-30.12,27.161
712,0.3,-30.16,27.219
713,0.3,-30.2,27.24
714,0.3,-30.26,27.286
715,0.3,-30.26,27.301
716,0.3,-30.34,27.359
717,0.3,-30.36,27.379
718,0.3,-30.42,27.439
719,0.3,-30.46,27.46
720,0.3,-30.54,27.522
721,0.3,-30.54,27.539
722,0.3,-30.64,27.619
723,0.3,-30.68,27.639
724,0.3,-30.74,27.709
725,0.3,-30.78,27.725
726,-0.4,-30.86,27.784
727,-0.7,-30.86,27.799
728,0.2,-30.92,27.863
729,0.3,-30.96,27.88
730,0.1,-31.02,27.939
731,0.1,-31.02,27.959
732,0.1,-31.1,28.022
733,0.1,-31.14,28.04
734,0.1,-31.2,28.099
735,0,-31.24,28.119
736,0,-31.28,28.167
737,0,-31.3,28.18
738,0.1,-31.36,28.239
739,0.1,-31.38,28.259
740,0,-31.46,28.319
741,0,-31.48,28.339
742,0,-31.54,28.399
743,0,-31.56,28.419
744,0,-31.64,28.467
745,0,-31.66,28.483
746,0,-31.72,28.54
747,0,-31.74,28.559
748,0,-31.8,28.619
749,0,-31.82,28.639
750,0,-31.94,28.741
751,0,-31.96,28.759
752,0,-32.08,28.859
753,0,-32.12,28.879
754,0,-32.24,28.979
755,0,-32.24,28.999
756,0,-32.34,29.079
757,0,-32.38,29.099
758,0,-32.48,29.199
759,0,-32.5,29.219
760,0,-32.6,29.299
761,0,-32.62,29.319
762,0,-32.74,29.399
763,0,-32.74,29.419
764,0,-32.84,29.499
765,0,-32.86,29.519
766,-0.1,-32.96,29.6
767,-0.1,-32.98,29.619
768,0,-33.04,29.68
769,0,-33.06,29.699
770,0,-33.18,29.787
771,0,-33.18,29.802
772,0,-33.28,29.879
773,0,-33.28,29.899
774,0,-33.4,29.98
775,0,-33.42,29.999
776,0,-33.52,30.079
777,0,-33.54,30.1
778,0,-33.62,30.179
779,0,-33.64,30.199
780,0,-33.74,30.28
